;Codigo Municipio;Nombre;Clase;CodProv
703;6074;LLERENA;431;6
704;6072;LOBON;364;6
705;6075;MAGACELA;42;6
706;6076;MAGUILLA;105;6
707;6077;MALCOCINADO;28;6
708;6078;MALPARTIDA DE LA SERENA;32;6
709;6079;MANCHITA;7;6
710;6080;MEDELLIN;105;6
711;6081;MEDINA DE LAS TORRES;63;6
712;6082;MENGABRIL;70;6
713;6083;MERIDA;809;6
714;6084;MIRANDILLA;49;6
715;6085;MONESTERIO;308;6
716;6086;MONTEMOLIN;70;6
717;6087;MONTERRUBIO DE LA SERENA;84;6
718;6088;MONTIJO;1719;6
719;6089;MORERA (LA);4;6
720;6090;NAVA DE SANTIAGO (LA);119;6
721;6091;NAVALVILLAR DE PELA;382;6
