;CodProv;Codigo Provincia;Codigo_Mapa;Comunidad Autónoma;Código;Municipio;Nº alojamientos;Provincia
315;4;4;4015;Andalucía;4015;ALSODUX;0;ALMERIA
316;4;4;4016;Andalucía;4016;ANTAS;0;ALMERIA
317;4;4;4017;Andalucía;4017;ARBOLEAS;4;ALMERIA
318;4;4;4018;Andalucía;4018;ARMUÑA DE ALMANZORA;1;ALMERIA
319;4;4;4019;Andalucía;4019;BACARES;2;ALMERIA
320;4;4;4020;Andalucía;4020;BAYARCAL;0;ALMERIA
321;4;4;4021;Andalucía;4021;BAYARQUE;0;ALMERIA
322;4;4;4022;Andalucía;4022;BEDAR;2;ALMERIA
323;4;4;4023;Andalucía;4023;BEIRES;1;ALMERIA
324;4;4;4024;Andalucía;4024;BENAHADUX;1;ALMERIA
325;4;4;0;Andalucía;4025;BENINAR;0;ALMERIA
326;4;4;4026;Andalucía;4026;BENITAGLA;0;ALMERIA
327;4;4;4027;Andalucía;4027;BENIZALON;0;ALMERIA
328;4;4;4028;Andalucía;4028;BENTARIQUE;0;ALMERIA
329;4;4;4029;Andalucía;4029;BERJA;5;ALMERIA
330;4;4;4030;Andalucía;4030;CANJAYAR;1;ALMERIA
331;4;4;4031;Andalucía;4031;CANTORIA;2;ALMERIA
332;4;4;4032;Andalucía;4032;CARBONERAS;64;ALMERIA
333;4;4;4033;Andalucía;4033;CASTRO DE FILABRES;0;ALMERIA
334;4;4;4034;Andalucía;4034;COBDAR;0;ALMERIA
335;4;4;4035;Andalucía;4035;CUEVAS DEL ALMANZORA;5;ALMERIA
336;4;4;4036;Andalucía;4036;CHERCOS;0;ALMERIA
337;4;4;4037;Andalucía;4037;CHIRIVEL;0;ALMERIA
338;4;4;4038;Andalucía;4038;DALIAS;2;ALMERIA
339;4;4;0;Andalucía;4039;DARRICAL;0;ALMERIA
340;4;4;4901;Andalucía;4040;TRES VILLAS (LAS);0;ALMERIA
341;4;4;4041;Andalucía;4041;ENIX;6;ALMERIA
342;4;4;0;Andalucía;4042;ESCULLAR;1;ALMERIA
343;4;4;4043;Andalucía;4043;FELIX;2;ALMERIA
344;4;4;4044;Andalucía;4044;FINES;0;ALMERIA
345;4;4;4045;Andalucía;4045;FIÑANA;0;ALMERIA
346;4;4;4046;Andalucía;4046;FONDON;1;ALMERIA
347;4;4;4047;Andalucía;4047;GADOR;0;ALMERIA
348;4;4;4048;Andalucía;4048;GALLARDOS (LOS);0;ALMERIA
349;4;4;4049;Andalucía;4049;GARRUCHA;27;ALMERIA
350;4;4;4050;Andalucía;4050;GERGAL;2;ALMERIA
351;4;4;4051;Andalucía;4051;HUECIJA;0;ALMERIA
352;4;4;4052;Andalucía;4052;HUERCAL DE ALMERIA;0;ALMERIA
